datetime,y,temp,rain,sun,wind,holiday,Anzac Day,Auckland Anniversary Day,Boxing Day,Christmas Day,Day after New Year's Day,Easter Monday,Good Friday,Labour Day,New Year's Day,Queen's Birthday,Waitangi Day,day_name,month_name,year,is_weekend,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,2013,2014,2015,2016,2017,2018
2013-01-01,1163.0,20.0,0.0,0.95,6.1000000000000005,New Year's Day,0,0,0,0,0,0,0,0,1,0,0,Tuesday,January,2013,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-02,1112.0,20.342857142857145,0.0,0.5357142857142858,4.428571428571429,Day after New Year's Day,0,0,0,0,1,0,0,0,0,0,0,Wednesday,January,2013,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-03,527.0,16.27857142857143,0.2285714285714286,0.014285714285714287,4.728571428571429,,0,0,0,0,0,0,0,0,0,0,0,Thursday,January,2013,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-04,1045.0,17.635714285714286,0.0,0.742857142857143,8.978571428571428,,0,0,0,0,0,0,0,0,0,0,0,Friday,January,2013,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-05,1422.0,19.592857142857145,0.0,0.9642857142857144,6.185714285714285,,0,0,0,0,0,0,0,0,0,0,0,Saturday,January,2013,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-06,1278.0,20.07857142857143,0.0,0.3857142857142857,6.014285714285713,,0,0,0,0,0,0,0,0,0,0,0,Sunday,January,2013,True,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-07,1044.0,19.564285714285713,0.0,0.4857142857142857,11.26428571428571,,0,0,0,0,0,0,0,0,0,0,0,Monday,January,2013,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-08,1062.0,19.428571428571427,0.0,0.5499999999999999,10.985714285714282,,0,0,0,0,0,0,0,0,0,0,0,Tuesday,January,2013,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-09,1467.0,21.62857142857143,0.0,0.8642857142857142,4.264285714285714,,0,0,0,0,0,0,0,0,0,0,0,Wednesday,January,2013,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-10,1483.0,22.35,0.0,0.4714285714285715,3.0071428571428567,,0,0,0,0,0,0,0,0,0,0,0,Thursday,January,2013,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-11,1232.0,22.835714285714282,0.0,0.6714285714285715,5.192857142857143,,0,0,0,0,0,0,0,0,0,0,0,Friday,January,2013,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-12,1568.0,22.307142857142853,0.0,0.6642857142857144,5.07142857142857,,0,0,0,0,0,0,0,0,0,0,0,Saturday,January,2013,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-13,1670.0,22.52857142857143,0.0,0.3714285714285713,4.292857142857144,,0,0,0,0,0,0,0,0,0,0,0,Sunday,January,2013,True,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-14,1050.0,21.228571428571428,0.0,0.014285714285714287,5.6000000000000005,,0,0,0,0,0,0,0,0,0,0,0,Monday,January,2013,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-15,1000.0,19.307142857142857,0.042857142857142864,0.16428571428571428,8.364285714285714,,0,0,0,0,0,0,0,0,0,0,0,Tuesday,January,2013,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-16,1221.0,18.80714285714285,0.0,0.31428571428571433,9.657142857142855,,0,0,0,0,0,0,0,0,0,0,0,Wednesday,January,2013,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-17,1086.0,18.478571428571428,0.042857142857142864,0.32857142857142857,8.499999999999998,,0,0,0,0,0,0,0,0,0,0,0,Thursday,January,2013,False,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-18,1133.0,17.357142857142858,0.0,0.5642857142857143,10.028571428571428,,0,0,0,0,0,0,0,0,0,0,0,Friday,January,2013,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-19,1620.0,19.0,0.0,0.7999999999999999,7.814285714285716,,0,0,0,0,0,0,0,0,0,0,0,Saturday,January,2013,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-20,1342.0,19.878571428571426,0.0,0.5071428571428572,7.85,,0,0,0,0,0,0,0,0,0,0,0,Sunday,January,2013,True,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-21,1251.0,19.907142857142862,0.0,0.6071428571428571,6.314285714285715,,0,0,0,0,0,0,0,0,0,0,0,Monday,January,2013,False,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-22,1220.0,21.27857142857143,0.0,0.7357142857142858,6.728571428571428,,0,0,0,0,0,0,0,0,0,0,0,Tuesday,January,2013,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-23,1378.0,21.75714285714286,0.0,0.6071428571428571,5.807142857142857,,0,0,0,0,0,0,0,0,0,0,0,Wednesday,January,2013,False,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
